SMILES,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_C_O,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,ALDH1_inhibition
[NH3+]CCSSCC[NH3+],0.12050000894769836,0.5604171056748597,0.9742485493520215,0.3341287148374299,0.01135255163887533,0.0,0.10443301072709281,0.6407673781989747,0.34526862704044214,0.33478260869565213,0.3211009174311926,0.32558139534883723,0.16549817879343126,0.5828102945290983,0.02357183520271544,0.888987719475804,0.4184194193083943,0.4573327093734474,0.4529225088265506,0.225140370038993,0.3684798556650737,0.5039449617427207,0.010181375064184013,0.8350515463917526,3.555994276030319e-08,0.37807577258111424,0.1567405719724505,0.2729770990794011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20929044596388025,0.0,0.0,0.4271306894907362,0.2130560597159701,0.30894961679154226,0.0,0.0,0.0,0.0,0.33303823929437726,0.0,0.0,0.0,0.35715607823783097,0.0,0.0,0.31014435262768997,0.24750378438230572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22478854912166563,0.0,0.0,0.0,0.0,0.0,0.13538429718292702,0.1388830258718439,0.0,0.2538637718230021,0.12775951150325557,0.0,0.031002699620000018,0.0,0.018057263842193416,0.010062638737963696,0.5220553886375803,0.6836089232845857,0.05842119377005001,0.40525752364427087,0.22894378593038206,0.7702446078513726,1.0,0.6000000000000001,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2,0.3571428571428571,0.0,0.0,0.0,0.0,0.37978626976275576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],0.12824703577582958,0.5832251406813053,0.9798335260183374,0.16791405977310228,0.12550060609780406,0.0,0.09882770309421345,0.6401226466543916,0.34592740896932506,0.11304347826086952,0.15596330275229353,0.24584717607973425,0.0031214913467476346,0.3566948175553524,0.10040183811503134,0.7823881756724416,0.05586265799971235,0.23833594078018394,0.0,0.11308938711286629,0.5043878593800258,0.5826371064793887,0.03811068932655738,0.7201767304860088,8.257617422747616e-07,0.7138200029332896,0.295721886615995,0.526106799279316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46590109302073296,0.6819535617071897,0.4106214111815588,0.0,0.0,0.0,0.0,0.21409217791306362,0.5317262820479626,0.0,0.0,0.0,0.6883443402342075,0.0,0.0,0.0,0.3951626315982205,0.0,0.0,0.2825526932084308,0.0,0.0,0.0,0.0,0.3598731294729994,0.0,0.0,0.0,0.0,0.0,0.13538429718292702,0.6260193051708425,0.0,0.0,0.24622998742805097,0.0,0.031002699620000018,0.0,0.018057263842193416,0.09137221744629667,0.5291125112664672,0.6054350018885012,0.05842119377005001,0.5906909768698416,0.43832130011649284,0.5196686775297977,1.0,1.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.7857142857142857,0.0,0.0,0.0,0.0,0.15656096150436427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
[NH3+]CCCCCCCCCC[NH3+],0.12869909665076495,0.6015551880068585,0.98432198311588,0.44545627418367695,0.055254637799020956,0.0,0.08600972894686988,0.6398884570855197,0.3461667021405712,0.0,0.02140672782874614,0.10852713178294573,0.0,0.28156212959920435,0.06773731913667103,0.8029652780818686,0.32083738984228183,0.469372472636179,0.0117663923161056,0.22217826576057112,0.4666540533217145,0.5648652342641707,0.025663365317113246,0.731958762886598,2.9811363201195185e-07,0.5903278722290413,0.24460232260917414,0.2729770990794011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2489956128650671,0.22817966903073286,0.0,0.2273178539023966,0.2130560597159701,0.0,0.0,0.0,0.0,0.42818435582612735,0.17724209401598753,0.0,0.0,0.0,0.35715607823783097,0.0,0.0,0.0,0.13172087719940684,0.0,0.0,0.5651053864168618,0.0,0.0,0.0,0.0,0.22478854912166563,0.0,0.0,0.0,0.0,0.0,0.13538429718292702,0.6200353400472531,0.0,0.0,0.12775951150325557,0.0,0.031002699620000018,0.0,0.018057263842193416,0.010062638737963696,0.5295243142846981,0.6054350018885012,0.05842119377005001,0.7982857056123461,0.2350812439192561,0.5196686775297977,1.0,0.6000000000000001,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.6428571428571428,0.0,0.0,0.0,0.0,0.5239025570408518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0
ClCC[NH+](CCCl)CCCl,0.2652214140248893,0.36962467726246234,0.92752943214215,0.5952346344119194,0.12365491224186026,0.0,0.11707881963318888,0.6715386953125235,0.31382672255685956,0.20695652173913037,0.19266055045871555,0.21395348837209302,0.18670137700772976,0.44610583607382015,0.19625152547651248,0.6263122582024345,0.0,0.06965272494545682,0.1889089712563653,0.03039523237935693,0.3981265924865648,0.7403014437012452,0.020834230378718552,0.865979381443299,9.213240574283962e-08,0.3981258391352973,0.12964826045809458,0.11664115066021447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.6473204431269156,0.09103732160760364,0.49807390360968157,0.0,0.0,0.0,0.0,0.5047224794249295,0.0,0.0,0.0,0.15261022287746112,0.0,0.0,0.5,0.3750942353801939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018054651919323362,0.0,0.0,0.0,0.0,0.22425083468136875,0.20307644577439055,0.05914580279961566,0.0,0.0,0.0,0.5,0.031002699620000018,0.5404769761511923,0.03669434808298938,0.010062638737963696,0.2526811902657478,0.6738758065890258,0.05842119377005001,0.40525752364427087,0.2614084844137816,0.5196686775297977,1.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.42857142857142855,0.0,0.0,0.0,0.0,0.5236291387655743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClC(Cl)(Cl)Cl,0.20705824425767244,0.8710880379047656,0.6237144437657952,0.432219324556544,0.010298182583401483,0.0,0.4374707612638493,1.0,0.2300488436424909,0.28,0.08990825688073395,0.06511627906976744,0.18783613161111623,1.0,0.26953313454728867,0.8909526233957616,0.5254246689750097,0.9063916996439305,0.2554086225203289,1.0,0.0,0.6564617369187635,0.0,0.9145802650957291,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.13761718394215328,0.0,0.0,0.0,0.0,0.0,0.44987749347612366,0.0,0.0,0.0,0.0,0.6640985381462421,0.0,0.0,0.0,0.0271058509938941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.032722311486307006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04011192555475782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.017499646468861086,0.6254687265636718,0.018057263842193416,0.010062638737963696,0.2526811902657478,0.6054350018885012,0.05842119377005001,0.40525752364427087,0.14533328591344777,0.5196686775297977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6864538643944776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.232237105628762,0.9999999999999999,0.5921479234536587,0.5435695996525172,0.19205518668469962,0.0,0.383779193682292,0.9846922761256063,0.1930256492883411,0.060869565217391286,0.0,0.0,0.18753130806000956,0.6106525806273941,0.6006419067030888,0.5797730684616811,0.6929413506989941,0.6372889658716159,0.25509953016845455,0.7602633856114245,0.1801470489105053,0.9643886735927871,0.02411111205419602,1.0,1.0870339101206878e-08,0.06635121908586869,0.0616438398942519,0.0,0.0,0.0,0.21816302788519096,0.0,0.0,0.0,0.0,0.0,0.0,0.6748162402141854,0.0,0.0,0.0,0.0,0.9961478072193631,0.0,0.0,0.0,0.06322806689972452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07632922132700802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09356649651118884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.018057263842193416,0.010062638737963696,0.2526811902657478,0.6054350018885012,0.05842119377005001,0.40525752364427087,0.14533328591344777,0.5196686775297977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.7837162017727443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClC(Cl)C(Cl)Cl,0.2298536697222754,0.3637840058406716,0.7479373845410633,0.5012430349288673,0.041045863957895334,0.0,0.2022377770973267,0.9555411273355864,0.06784317739751218,0.18260869565217386,0.10703363914373087,0.07751937984496124,0.18712033504919895,0.6272059212767527,0.22484010193428028,0.8461369382525983,0.4053290520727044,0.809455745696837,0.22800061951217176,0.8306937514722392,0.21664857422008585,0.647125598710026,0.004214664869337161,0.9145802650957291,6.142677507062502e-09,0.09374114935465158,0.06977869738171281,0.0,0.19530303034733718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6640985381462421,0.0,0.0,0.0,0.08062889547216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.09733558385719855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11931668382114871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.031002699620000018,0.6627668616569171,0.0,0.010062638737963696,0.2526811902657478,0.6054350018885012,0.05842119377005001,0.40525752364427087,0.14533328591344777,0.5196686775297977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.6898425939274626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClCCOCOCCCl,0.2451807652776667,0.15739136542722731,0.8755601110638651,0.2807038057865586,0.05242033595135426,0.0,0.21868905270142458,0.6440526058207212,0.34191180572828894,0.344927536231884,0.3639143730886849,0.3875968992248062,0.18669168291026467,0.5900239031007954,0.0,0.7873482724725163,0.09664710766694307,0.7627972973727988,0.18844985922911028,0.34136041398257105,0.3943889946832332,0.5240338442581056,0.015415986441399557,0.8173784977908689,6.147485719754368e-08,0.43467633248722815,0.20679514506246283,0.22551972415829802,0.13715966047453096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2133293987015441,0.22947564981986715,0.17601602471210814,0.33204926907312105,0.0,0.0,0.0,0.0,0.4301457842804795,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.31967112746896814,0.2324644717534977,0.0,0.0,0.0,0.0,0.0,0.0,0.07506506180871829,0.0,0.0,0.0,0.0,0.4038383083756653,0.0,0.0,0.0,0.0,0.0,0.46943905691033083,0.11267004458729737,0.34392261509373506,0.018057263842193416,0.010062638737963696,0.2526811902657478,0.6390860941590312,0.05842119377005001,0.40525752364427087,0.19995500189430854,0.5196686775297977,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.42857142857142855,0.0,0.0,0.0,0.0,0.5954635765430316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
ClCCOP(OCCCl)OCCCl,0.25532663785480325,0.21660362686396703,0.6607136745963762,0.439216232546342,0.26384873201708875,0.0,0.5595079866412779,0.6974782394335453,0.3142000077284821,0.20133779264214047,0.19266055045871555,0.22540250447227192,0.18670138802348574,0.6097555351557267,0.26679026081214885,0.6301419931386336,0.6099253370624651,0.7768376440232034,0.3148169724980352,0.42239432021857803,0.48997403742598344,0.7937220951596986,0.040376129701036254,0.9175257731958764,4.637120554032586e-07,0.6119307966489944,0.23298034661792938,0.32306007858619906,0.0,0.0,0.0,0.0,0.3529399984785056,0.0,0.0,0.0,0.75,0.0,0.0,0.31999409805231616,0.34421347472980074,0.25214535441702607,0.6211853998655201,0.0,0.0,0.0,0.0,0.5072461632907546,0.0,0.0,0.0,0.0,0.0,0.0,0.6235875794371226,0.37696975967043655,0.3330085241700173,0.0,0.0,0.0,0.0,0.0,0.0,0.11259759271307744,0.10611576788977019,0.0,0.0,0.0,0.47622327127077907,0.0,0.0,0.0,0.0,0.0,0.6949733040820518,0.16090866725302466,0.5283345169476219,0.018057263842193416,0.010062638737963696,0.2526811902657478,0.6464832628476567,0.05842119377005001,0.40525752364427087,0.19380789055994285,0.43148649466269623,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.4,0.6428571428571428,0.0,0.0,0.0,0.0,0.721799390525808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fc1ccc(NCc2nnc(SCc3nnc(-c4ccccc4)o3)n2Cc2ccccc2)cc1,0.8709227581617047,0.1462133860377695,0.8012136459345458,0.21275561670452678,0.7089568760864273,0.0,0.4037354811055837,0.5629187108082281,0.4248138202228391,0.2971867007672634,0.4797625472207231,0.6320109439124488,0.15706363715480154,0.3289494690745265,0.317800321795614,0.6623173928538173,0.4854117952059589,0.7165226932112181,0.37278429963570636,0.5503972891368583,0.9443243814137976,0.13108963097123633,0.7508046184640743,0.15758468335787934,0.07533034958475981,0.5508029707280467,0.12208390866638492,0.34043273412199654,0.1174583854108027,0.300988053075428,0.3388598523814334,0.0,0.0,0.0,0.11099569036719426,0.0,0.4395059242220456,0.5845298671133757,0.3728026124125414,0.20409294637774614,0.32722427169656637,0.16363918136767736,0.2497219109242584,0.0,0.47911513535138833,0.0,0.20005056525421783,0.0719934163449604,0.8613673058400927,0.0,0.3258118378641375,0.1655941309981883,0.22942389391125284,0.0,0.1689789083281391,0.2511929802531739,0.46235037817225233,0.09277942680426995,0.1900889627365776,0.8692251721035378,0.0,0.2539289725173674,0.0,0.33205920624593366,0.0,0.09644888872321228,0.0,0.07076456942597807,0.38930906383481007,0.28748389848140327,0.28842703357430616,0.1660713513006272,0.5707042362755556,0.4725119944148497,0.06345967049291118,0.2078172715199255,0.04821236246755717,0.018057263842193416,0.3659118407987847,0.3546649166861865,0.671476984638549,0.7824671827542267,0.40525752364427087,0.1884842488762474,0.5196686775297977,0.12,0.1,0.4666666666666667,0.0,0.0,0.0,0.75,0.5,0.8333333333333333,0.6666666666666666,0.16666666666666666,0.5333333333333333,0.6428571428571428,0.0,0.0,0.0,0.625,0.9239963477946744,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
